ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV162,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA,unknown Flavonifractor (Genus) ASV162,0.008,TRUE,CR_UNTREATED,13 ± 5.2,0 ± 0.8,2 ± 0.6,6 ± NA,2 ± NA,4 ± 1.4
ASV190,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,NA,unknown NK4A214 group (Genus) ASV190,0.008,TRUE,CR_UNTREATED,12 ± 4.4,1 ± 2,20 ± 6.7,8 ± NA,22 ± NA,18 ± 0.7
ASV215,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV215,0.008,TRUE,CR_UNTREATED,33 ± 13.1,0 ± 1.6,18 ± 11.1,21 ± NA,7 ± NA,14 ± 3.5
ASV193,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV193,0.009,TRUE,CR_UNTREATED,0 ± 0,0 ± 1.4,14 ± 4.6,9 ± NA,16 ± NA,16 ± 2.8
ASV384,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV384,0.009,TRUE,CR_UNTREATED,14 ± 4,0 ± 1.6,3 ± 5.3,20 ± NA,7 ± NA,18 ± 0
ASV143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV143,0.01,TRUE,CR_UNTREATED,6 ± 4.7,0 ± 2.9,38 ± 18.1,39 ± NA,65 ± NA,52 ± 15.6
ASV397,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV397,0.01,TRUE,CR_UNTREATED,138 ± 55.9,0 ± 6.7,182 ± 116.4,113 ± NA,32 ± NA,54 ± 36.1
ASV084,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,unknown Enterococcus (Genus) ASV084,0.011,TRUE,CR_UNTREATED,39 ± 20.6,458 ± 314.7,72 ± 20.1,226 ± NA,153 ± NA,81 ± 22.6
ASV273,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA,unknown Clostridia UCG-014 (Order) ASV273,0.012,TRUE,CR_UNTREATED,5 ± 6.3,0 ± 0.4,10 ± 3.5,3 ± NA,42 ± NA,50 ± 50.9
ASV347,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV347,0.012,TRUE,CR_UNTREATED,16 ± 10.5,0 ± 3.5,0 ± 0,0 ± NA,0 ± NA,10 ± 3.5
