ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV273,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA,unknown Clostridia UCG-014 (Order) ASV273,0,TRUE,IR1_UNTREATED,0 ± 1,0 ± 0.8,8 ± 8.2,68 ± 30.3,8 ± 4.1,29 ± 28.3
ASV062,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,NA,NA,unknown Erysipelatoclostridiaceae (Family) ASV062,0.001,TRUE,IR1_UNTREATED,87 ± 14,83 ± 38.3,87 ± 29.9,10 ± 27.1,0 ± 0,0 ± 1.3
ASV065,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA,unknown Erysipelatoclostridium (Genus) ASV065,0.001,TRUE,IR1_UNTREATED,30 ± 11,43 ± 29.1,66 ± 37.9,6 ± 10.2,0 ± 0,0 ± 0
ASV142,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,NA,unknown Tyzzerella (Genus) ASV142,0.001,TRUE,IR1_UNTREATED,116 ± 59.3,0 ± 35.1,293 ± 33.9,278 ± 43.9,166 ± 28.8,203 ± 93.4
ASV143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV143,0.001,TRUE,IR1_UNTREATED,8 ± 4.4,0 ± 1.2,19 ± 30.2,80 ± 21.9,67 ± 19.5,72 ± 11.1
ASV144,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV144,0.001,TRUE,IR1_UNTREATED,2 ± 2.1,0 ± 0.8,8 ± 5.7,15 ± 7.3,18 ± 4.7,17 ± 4.4
ASV145,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV145,0.001,TRUE,IR1_UNTREATED,32 ± 4.7,14 ± 41.5,59 ± 30.6,0 ± 0,0 ± 0,0 ± 0.9
ASV163,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,plautii,Flavonifractor plautii ASV163,0.001,TRUE,IR1_UNTREATED,6 ± 1.6,45 ± 34.2,8 ± 12.4,100 ± 22.7,66 ± 19.6,87 ± 17.2
ASV193,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV193,0.001,TRUE,IR1_UNTREATED,0 ± 0,0 ± 1,11 ± 3.3,14 ± 8.3,9 ± 2.5,8 ± 2
ASV207,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV207,0.001,TRUE,IR1_UNTREATED,146 ± 53.7,26 ± 30.7,67 ± 26,136 ± 11.7,184 ± 9.8,99 ± 19.6
ASV289,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA,unknown Lachnospira (Genus) ASV289,0.001,TRUE,IR1_UNTREATED,98 ± 40.3,203 ± 115.4,3 ± 21.6,4 ± 4.3,106 ± 10.2,98 ± 24.7
ASV373,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV373,0.001,TRUE,IR1_UNTREATED,0 ± 0,10 ± 29.1,0 ± 0.4,0 ± 0,2 ± 1.7,5 ± 5.3
ASV389,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV389,0.001,TRUE,IR1_UNTREATED,11 ± 9,1 ± 2.3,16 ± 8.9,16 ± 16.6,2 ± 1.4,2 ± 2.7
ASV397,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV397,0.001,TRUE,IR1_UNTREATED,58 ± 31.2,5 ± 26.7,242 ± 58.5,186 ± 79.7,74 ± 14.9,93 ± 21.3
ASV290,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA,unknown Lachnospira (Genus) ASV290,0.002,TRUE,IR1_UNTREATED,20 ± 11.7,41 ± 32.9,3 ± 3.8,2 ± 1,26 ± 5.3,15 ± 8.5
ASV292,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV292,0.003,TRUE,IR1_UNTREATED,110 ± 43.4,0 ± 11.8,0 ± 0.4,0 ± 0,0 ± 0,0 ± 1.3
ASV384,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV384,0.003,TRUE,IR1_UNTREATED,8 ± 5.2,1 ± 4,20 ± 7,10 ± 2.4,25 ± 10.4,25 ± 8.7
ASV162,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA,unknown Flavonifractor (Genus) ASV162,0.005,TRUE,IR1_UNTREATED,6 ± 4,0 ± 1.3,5 ± 1.9,7 ± 2.6,12 ± 4.5,8 ± 4.5
ASV366,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV366,0.006,TRUE,IR1_UNTREATED,2 ± 1.3,2 ± 5.2,4 ± 3.5,0 ± 0,0 ± 0,0 ± 0
ASV368,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV368,0.007,TRUE,IR1_UNTREATED,109 ± 19.7,40 ± 30.8,43 ± 21.5,56 ± 20.5,92 ± 33.9,118 ± 44
ASV387,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV387,0.007,TRUE,IR1_UNTREATED,25 ± 10.5,2 ± 3.4,10 ± 17.6,12 ± 7,20 ± 9.5,26 ± 12.7
ASV245,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,NA,unknown Negativibacillus (Genus) ASV245,0.008,TRUE,IR1_UNTREATED,78 ± 54.4,34 ± 44.9,24 ± 7.7,19 ± 14.1,92 ± 20.1,92 ± 37.6
ASV276,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575,NA,unknown GCA-900066575 (Genus) ASV276,0.008,TRUE,IR1_UNTREATED,32 ± 13.6,6 ± 7.9,18 ± 18.9,20 ± 6.6,22 ± 5.4,7 ± 3.2
ASV351,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV351,0.011,TRUE,IR1_UNTREATED,38 ± 11.1,44 ± 24.1,85 ± 27.2,50 ± 8.3,34 ± 7.6,34 ± 9
ASV357,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV357,0.011,TRUE,IR1_UNTREATED,85 ± 36.3,7 ± 11.9,24 ± 26.8,80 ± 33.2,46 ± 4.7,110 ± 74.1
