ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV161,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA,unknown Flavonifractor (Genus) ASV161,0.002,TRUE,TR1_CTX+HV292.1,119 ± 52.6,42 ± 11.2,26 ± 8.6,10 ± 6.4,6 ± 4.9,76 ± 8.5
ASV383,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV383,0.003,TRUE,TR1_CTX+HV292.1,6 ± 2.2,25 ± 15.4,1 ± 1.7,2 ± 2.1,2 ± 2.1,2 ± 0.7
ASV143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV143,0.004,TRUE,TR1_CTX+HV292.1,11 ± 3,0 ± 0.4,1 ± 3.8,0 ± 0,9 ± 1.4,19 ± 7.1
ASV190,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,NA,unknown NK4A214 group (Genus) ASV190,0.004,TRUE,TR1_CTX+HV292.1,17 ± 3.7,46 ± 21.2,26 ± 4,32 ± 5.7,10 ± 4.9,4 ± 6.4
ASV084,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,unknown Enterococcus (Genus) ASV084,0.005,TRUE,TR1_CTX+HV292.1,20 ± 4.9,63 ± 55.9,724 ± 357.3,897 ± 196.6,606 ± 491.4,576 ± 299.1
ASV158,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA,unknown Intestinimonas (Genus) ASV158,0.005,TRUE,TR1_CTX+HV292.1,0 ± 0.5,14 ± 20.7,30 ± 15.4,96 ± 36.1,172 ± 71.4,10 ± 1.4
ASV213,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus Soleaferrea,NA,unknown Candidatus Soleaferrea (Genus) ASV213,0.005,TRUE,TR1_CTX+HV292.1,0 ± 0.5,0 ± 1.1,4 ± 1.4,4 ± 2.1,8 ± 2.8,4 ± 0
ASV230,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV230,0.005,TRUE,TR1_CTX+HV292.1,483 ± 72,908 ± 238.4,451 ± 48.1,320 ± 2.8,604 ± 166.2,419 ± 175.4
ASV348,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV348,0.005,TRUE,TR1_CTX+HV292.1,2 ± 2.1,0 ± 0,0 ± 0,0 ± 0.7,10 ± 2.8,6 ± 1.4
ASV020,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA,unknown Escherichia-Shigella (Genus) ASV020,0.006,TRUE,TR1_CTX+HV292.1,46 ± 26.9,62 ± 53.2,641 ± 178,922 ± 12,127 ± 145.7,546 ± 321.7
ASV351,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV351,0.006,TRUE,TR1_CTX+HV292.1,49 ± 11.2,160 ± 138.5,28 ± 2.7,26 ± 4.9,43 ± 18.4,52 ± 7.1
ASV398,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV398,0.006,TRUE,TR1_CTX+HV292.1,62 ± 14.5,74 ± 24.2,23 ± 7.4,16 ± 2.1,62 ± 23.3,28 ± 7.1
ASV215,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,unknown Ruminococcaceae (Family) ASV215,0.007,TRUE,TR1_CTX+HV292.1,34 ± 13.1,0 ± 5,19 ± 8.9,9 ± 4.2,14 ± 0,13 ± 7.1
ASV290,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA,unknown Lachnospira (Genus) ASV290,0.007,TRUE,TR1_CTX+HV292.1,28 ± 8.3,0 ± 4.1,38 ± 15.6,48 ± 4.2,12 ± 17,39 ± 4.2
ASV356,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV356,0.007,TRUE,TR1_CTX+HV292.1,9 ± 4.5,0 ± 1.9,11 ± 79.2,13 ± 8.5,136 ± 44.5,18 ± 2.8
ASV400,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV400,0.007,TRUE,TR1_CTX+HV292.1,0 ± 0,0 ± 10,30 ± 5.5,23 ± 4.2,30 ± 2.1,18 ± 13.4
ASV091,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,unknown Bacillus (Genus) ASV091,0.008,TRUE,TR1_CTX+HV292.1,70 ± 137.8,400 ± 436.4,60 ± 34.4,6 ± 4.2,1 ± 1.4,0 ± 0.7
ASV145,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV145,0.008,TRUE,TR1_CTX+HV292.1,22 ± 13,54 ± 23.4,14 ± 8.5,15 ± 2.8,20 ± 2.1,8 ± 2.1
ASV289,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,NA,unknown Lachnospira (Genus) ASV289,0.008,TRUE,TR1_CTX+HV292.1,146 ± 25.7,1 ± 22,148 ± 61.5,174 ± 9.2,50 ± 61.5,151 ± 36.8
ASV292,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV292,0.009,TRUE,TR1_CTX+HV292.1,19 ± 30.5,0 ± 0,0 ± 19.6,0 ± 0,0 ± 0,0 ± 0
ASV368,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV368,0.009,TRUE,TR1_CTX+HV292.1,79 ± 37.1,110 ± 27.3,52 ± 29.3,10 ± 3.5,10 ± 9.2,9 ± 0
ASV217,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Pygmaiobacter,NA,unknown Pygmaiobacter (Genus) ASV217,0.01,TRUE,TR1_CTX+HV292.1,0 ± 0,86 ± 79,29 ± 14.3,22 ± 3.5,66 ± 12,43 ± 15.6
ASV276,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575,NA,unknown GCA-900066575 (Genus) ASV276,0.01,TRUE,TR1_CTX+HV292.1,22 ± 7.3,0 ± 6.9,19 ± 9.8,15 ± 2.8,32 ± 2.8,34 ± 0.7
ASV083,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,unknown Enterococcus (Genus) ASV083,0.011,TRUE,TR1_CTX+HV292.1,0 ± 0,5 ± 6,18 ± 10.6,52 ± 19.8,38 ± 46,92 ± 22.6
ASV207,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV207,0.012,TRUE,TR1_CTX+HV292.1,43 ± 8.3,107 ± 60.5,73 ± 27.4,54 ± 4.9,96 ± 65.8,22 ± 2.1
ASV394,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV394,0.012,TRUE,TR1_CTX+HV292.1,32 ± 20.1,13 ± 36.1,0 ± 5.4,0 ± 0,0 ± 0.7,0 ± 0
ASV316,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,NA,unknown Blautia (Genus) ASV316,0.013,TRUE,TR1_CTX+HV292.1,76 ± 11.4,101 ± 29.2,29 ± 26.9,28 ± 9.9,42 ± 2.1,38 ± 2.8
ASV062,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,NA,NA,unknown Erysipelatoclostridiaceae (Family) ASV062,0.015,TRUE,TR1_CTX+HV292.1,72 ± 43.2,9 ± 28.2,1 ± 35.9,0 ± 0.7,2 ± 3.5,0 ± 0
ASV092,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,unknown Bacillus (Genus) ASV092,0.015,TRUE,TR1_CTX+HV292.1,4 ± 6.7,19 ± 24.7,0 ± 1.4,0 ± 0,0 ± 0,0 ± 0
ASV149,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,NA,unknown Butyricicoccus (Genus) ASV149,0.015,TRUE,TR1_CTX+HV292.1,6 ± 2.1,0 ± 2.6,0 ± 0.4,0 ± 0,1 ± 1.4,6 ± 4.9
ASV389,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV389,0.015,TRUE,TR1_CTX+HV292.1,13 ± 5.2,303 ± 165.9,63 ± 138.5,4 ± 3.5,2 ± 1.4,3 ± 1.4
ASV021,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA,unknown Escherichia-Shigella (Genus) ASV021,0.016,TRUE,TR1_CTX+HV292.1,0 ± 0,2 ± 6.4,105 ± 51.8,144 ± 42.4,30 ± 33.9,85 ± 46.7
ASV099,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,NA,NA,unknown Christensenellaceae (Family) ASV099,0.018,TRUE,TR1_CTX+HV292.1,0 ± 1,3 ± 6.7,20 ± 2.2,16 ± 1.4,15 ± 8.5,18 ± 19.1
ASV188,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,NA,unknown Monoglobus (Genus) ASV188,0.02,TRUE,TR1_CTX+HV292.1,5 ± 2.4,0 ± 0.8,0 ± 1.8,0 ± 0,0 ± 0,0 ± 0
ASV022,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,NA,unknown Proteus (Genus) ASV022,0.021,TRUE,TR1_CTX+HV292.1,1382 ± 209.3,34 ± 120.4,17 ± 302.3,64 ± 50.2,244 ± 147.1,339 ± 185.3
