ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV084,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,unknown Enterococcus (Genus) ASV084,0.005,TRUE,TR2_CTX,2 ± 3.3,65 ± 59.6,284 ± 137.9,484 ± 223.4,822 ± 388.2,530 ± 201.5
ASV133,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA,unknown Clostridia vadinBB60 group (Order) ASV133,0.009,TRUE,TR2_CTX,4 ± 2.5,10 ± 60.5,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV093,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,NA,unknown Planococcaceae (Family) ASV093,0.011,TRUE,TR2_CTX,307 ± 22.8,66 ± 52.6,50 ± 13.4,12 ± 3.5,0 ± 0,108 ± 122.3
ASV161,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA,unknown Flavonifractor (Genus) ASV161,0.011,TRUE,TR2_CTX,127 ± 8.3,102 ± 42,36 ± 6.4,6 ± 3.5,6 ± 1.4,11 ± 4.2
ASV149,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,NA,unknown Butyricicoccus (Genus) ASV149,0.012,TRUE,TR2_CTX,3 ± 1.9,0 ± 1.1,2 ± 2.1,26 ± 4.9,25 ± 0,10 ± 10.6
ASV258,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA,unknown Clostridia UCG-014 (Order) ASV258,0.014,TRUE,TR2_CTX,117 ± 25.9,2 ± 21.5,0 ± 0.7,0 ± 0,0 ± 0,0 ± 0
ASV347,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV347,0.014,TRUE,TR2_CTX,14 ± 1.7,0 ± 3.9,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV166,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA,unknown Flavonifractor (Genus) ASV166,0.015,TRUE,TR2_CTX,0 ± 2.5,12 ± 127,372 ± 6.4,338 ± 111.7,300 ± 121.6,106 ± 27.6
ASV292,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV292,0.016,TRUE,TR2_CTX,80 ± 30.1,2 ± 5,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV346,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV346,0.016,TRUE,TR2_CTX,46 ± 8.2,1 ± 16.2,261 ± 260.2,19 ± 25.5,31 ± 32.5,103 ± 38.2
