ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV083,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,unknown Enterococcus (Genus) ASV083,0.005,TRUE,TR3_HV292.1,0 ± 0,0 ± 0,4 ± 4.9,26 ± 4.9,29 ± 1.4,112 ± 68.6
ASV217,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Pygmaiobacter,NA,unknown Pygmaiobacter (Genus) ASV217,0.005,TRUE,TR3_HV292.1,0 ± 0,0 ± 0.7,9 ± 5.7,7 ± 1.4,44 ± 0.7,23 ± 14.1
ASV143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV143,0.006,TRUE,TR3_HV292.1,2 ± 2,11 ± 3.9,26 ± 6.4,40 ± 7.8,30 ± 5.7,46 ± 13.4
ASV065,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA,unknown Erysipelatoclostridium (Genus) ASV065,0.007,TRUE,TR3_HV292.1,64 ± 11.7,38 ± 15.7,8 ± 9.2,0 ± 0,0 ± 0,0 ± 0
ASV400,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV400,0.008,TRUE,TR3_HV292.1,0 ± 0,6 ± 7.7,47 ± 8.5,39 ± 2.8,28 ± 4.9,22 ± 2.8
ASV384,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV384,0.01,TRUE,TR3_HV292.1,21 ± 3,11 ± 4.1,16 ± 2.1,2 ± 2.1,5 ± 4.2,0 ± 0
ASV394,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,unknown Lachnospiraceae (Family) ASV394,0.011,TRUE,TR3_HV292.1,31 ± 8.7,16 ± 7.1,0 ± 0.7,2 ± 2.1,1 ± 0,2 ± 0.7
ASV145,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,unknown [Eubacterium] hallii group (Genus) ASV145,0.013,TRUE,TR3_HV292.1,22 ± 7.9,16 ± 7.2,2 ± 0.7,2 ± 0.7,1 ± 1.4,0 ± 0.7
ASV273,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA,unknown Clostridia UCG-014 (Order) ASV273,0.014,TRUE,TR3_HV292.1,0 ± 0.6,6 ± 7.5,54 ± 3.5,38 ± 11.3,16 ± 4.9,28 ± 8.5
ASV062,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,NA,NA,unknown Erysipelatoclostridiaceae (Family) ASV062,0.015,TRUE,TR3_HV292.1,75 ± 14.2,70 ± 19.5,2 ± 2.1,0 ± 0,0 ± 0,0 ± 0
