ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV015,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,unknown Stenotrophomonas (Genus) ASV015,0.004,TRUE,TR4_VAN,0 ± 0,7 ± 19.7,177 ± 72.9,298 ± 64.3,382 ± 12,525 ± 52.3
ASV017,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,unknown Acinetobacter (Genus) ASV017,0.004,TRUE,TR4_VAN,0 ± 0,4 ± 21.3,255 ± 63,418 ± 38.2,644 ± 196.6,888 ± 449.7
ASV020,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA,unknown Escherichia-Shigella (Genus) ASV020,0.006,TRUE,TR4_VAN,442 ± 62.2,277 ± 81.9,742 ± 149.7,1192 ± 309,832 ± 556.5,231 ± 31.1
ASV126,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA,unknown Clostridia vadinBB60 group (Order) ASV126,0.006,TRUE,TR4_VAN,0 ± 0,0 ± 9,254 ± 320.7,314 ± 82.7,138 ± 99,196 ± 89.8
ASV140,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,NA,unknown Defluviitaleaceae UCG-011 (Genus) ASV140,0.007,TRUE,TR4_VAN,11 ± 2.4,0 ± 2.6,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV211,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV211,0.007,TRUE,TR4_VAN,2 ± 1.7,0 ± 3,44 ± 21,76 ± 50.2,142 ± 9.2,53 ± 11.3
ASV188,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,NA,unknown Monoglobus (Genus) ASV188,0.008,TRUE,TR4_VAN,10 ± 1.4,0 ± 3,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV165,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor,capillosus,Pseudoflavonifractor capillosus ASV165,0.011,TRUE,TR4_VAN,15 ± 7.9,0 ± 0.8,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV209,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV209,0.011,TRUE,TR4_VAN,0 ± 0,0 ± 60.6,280 ± 32.9,224 ± 88.4,107 ± 72.1,69 ± 41
ASV363,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV363,0.011,TRUE,TR4_VAN,18 ± 7.6,0 ± 2,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV383,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV383,0.011,TRUE,TR4_VAN,10 ± 3.1,0 ± 1.9,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV357,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV357,0.013,TRUE,TR4_VAN,19 ± 5.7,0 ± 2.3,0 ± 0,0 ± 0,0 ± 0,0 ± 0
