ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Kruskal.pvalue,Significant,Reactor_Treatment,pret,t1,t2,t3,t4,t5
ASV015,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,unknown Stenotrophomonas (Genus) ASV015,0.001,TRUE,TR5_VAN+CCUG59168,6 ± 7.5,53 ± 40.3,216 ± 49.8,298 ± 87,553 ± 593.6,1002 ± 228.3
ASV017,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,unknown Acinetobacter (Genus) ASV017,0.001,TRUE,TR5_VAN+CCUG59168,13 ± 6.2,116 ± 66.6,361 ± 218.2,495 ± 342.2,328 ± 52.8,608 ± 211.2
ASV086,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,unknown Enterococcus (Genus) ASV086,0.002,TRUE,TR5_VAN+CCUG59168,0 ± 0.5,22 ± 16.7,64 ± 27.1,50 ± 10.6,203 ± 101.8,204 ± 32.2
ASV126,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,NA,NA,unknown Clostridia vadinBB60 group (Order) ASV126,0.002,TRUE,TR5_VAN+CCUG59168,0 ± 0,0 ± 5.3,71 ± 350.8,276 ± 19.1,34 ± 154.2,84 ± 116
ASV211,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA,unknown Incertae Sedis (Genus) ASV211,0.002,TRUE,TR5_VAN+CCUG59168,1 ± 0.8,0 ± 5.1,136 ± 57.6,90 ± 19.1,80 ± 36.5,46 ± 11.3
ASV076,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,unknown Lactobacillus (Genus) ASV076,0.003,TRUE,TR5_VAN+CCUG59168,6 ± 3.3,810 ± 546.4,188 ± 121.7,8 ± 6.4,0 ± 0.6,0 ± 1.9
ASV137,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-010,NA,unknown Lachnospiraceae UCG-010 (Genus) ASV137,0.003,TRUE,TR5_VAN+CCUG59168,7 ± 3,0 ± 1.5,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV161,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,NA,unknown Flavonifractor (Genus) ASV161,0.003,TRUE,TR5_VAN+CCUG59168,106 ± 48,3 ± 19.1,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV363,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,NA,unknown [Ruminococcus] torques group (Genus) ASV363,0.003,TRUE,TR5_VAN+CCUG59168,14 ± 6.3,0 ± 3.3,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV030,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CHKCI002,NA,unknown CHKCI002 (Genus) ASV030,0.004,TRUE,TR5_VAN+CCUG59168,38 ± 7.9,4 ± 8.5,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV084,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,unknown Enterococcus (Genus) ASV084,0.005,TRUE,TR5_VAN+CCUG59168,22 ± 31.9,92 ± 61,157 ± 36.4,99 ± 33.9,508 ± 268.6,466 ± 83.1
ASV136,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-010,NA,unknown Lachnospiraceae UCG-010 (Genus) ASV136,0.005,TRUE,TR5_VAN+CCUG59168,32 ± 11.4,0 ± 3.9,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV335,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,NA,unknown Sellimonas (Genus) ASV335,0.005,TRUE,TR5_VAN+CCUG59168,20 ± 5.7,0 ± 4.9,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV347,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,NA,unknown Eisenbergiella (Genus) ASV347,0.005,TRUE,TR5_VAN+CCUG59168,50 ± 12.6,0 ± 10.2,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV065,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA,unknown Erysipelatoclostridium (Genus) ASV065,0.006,TRUE,TR5_VAN+CCUG59168,48 ± 19.3,0 ± 13.3,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV077,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,unknown Lactobacillus (Genus) ASV077,0.006,TRUE,TR5_VAN+CCUG59168,0 ± 0,128 ± 77.6,20 ± 19.3,0 ± 0.7,0 ± 0.6,0 ± 0
ASV174,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillospira,NA,unknown Oscillospira (Genus) ASV174,0.006,TRUE,TR5_VAN+CCUG59168,14 ± 5.6,0 ± 4.2,0 ± 0,0 ± 0,0 ± 0,0 ± 0
ASV382,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV382,0.006,TRUE,TR5_VAN+CCUG59168,46 ± 11.3,2 ± 4.8,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
ASV397,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA,unknown Lachnoclostridium (Genus) ASV397,0.006,TRUE,TR5_VAN+CCUG59168,91 ± 9.5,1 ± 27.7,0 ± 0,0 ± 0,0 ± 0,0 ± 0.5
